e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
134,Venlo,VENLO,municipality,6.152477078,51.36561154,7,10,15,NL.LI.VL,venlo,gadm,shape,3,nl,,,,13254,,
135,Venray,VENRAY,municipality,5.956135306,51.51419923,7,10,15,NL.LI.VR,venray,gadm,shape,3,nl,,,,23512,,
136,Voerendaal,VOERENDAAL,municipality,5.92570774,50.87157167,7,10,15,NL.LI.VO,voerendaal,gadm,shape,3,nl,,,,4969,,
137,Weert,WEERT,municipality,5.697611696,51.23380609,7,10,15,NL.LI.WE,weert,gadm,shape,3,nl,,,,17567,,
138,'s-Hertogenbosch,'S-HERTOGENBOSCH,municipality,5.330249373,51.71606813,7,10,15,NL.NB.SH,'s-hertogenbosch,gadm,shape,3,nl,,,,14741,,
139,Aalburg,AALBURG,municipality,5.069762489,51.74652088,7,10,15,NL.NB.AA,aalburg,gadm,shape,3,nl,,,,8572,,
140,Alphen-Chaam,ALPHEN-CHAAM,municipality,4.891293844,51.50208473,7,10,15,NL.NB.AC,alphen-chaam,gadm,shape,3,nl,,,,15295,,
141,Asten,ASTEN,municipality,5.786955859,51.38791213,7,10,15,NL.NB.AS,asten,gadm,shape,3,nl,,,,11449,,
142,Baarle-Nassau,BAARLE-NASSAU,municipality,4.898640643,51.43889972,7,10,15,NL.NB.BN,baarle-nassau,gadm,shape,3,nl,,,,12569,,
143,Bergeijk,BERGEIJK,municipality,5.345722063,51.31037798,7,10,15,NL.NB.BG,bergeijk,gadm,shape,3,nl,,,,16833,,
144,Bergen op Zoom,BERGEN OP ZOOM,municipality,4.294064154,51.50737573,7,10,15,NL.NB.BZ,bergen-op-zoom,gadm,shape,3,nl,,,,13443,,
145,Bernheze,BERNHEZE,municipality,5.527089168,51.68557748,7,10,15,NL.NB.BH,bernheze,gadm,shape,3,nl,,,,14621,,
146,Best,BEST,municipality,5.402644566,51.5148564,7,10,15,NL.NB.BS,best,gadm,shape,3,nl,,,,5614,,
147,Bladel,BLADEL,municipality,5.244527456,51.37354964,7,10,15,NL.NB.BL,bladel,gadm,shape,3,nl,,,,12160,,
148,Boekel,BOEKEL,municipality,5.701105917,51.60779375,7,10,15,NL.NB.BO,boekel,gadm,shape,3,nl,,,,5549,,
149,Boxmeer,BOXMEER,municipality,5.957308932,51.62279059,7,10,15,NL.NB.BM,boxmeer,gadm,shape,3,nl,,,,18343,,
150,Boxtel,BOXTEL,municipality,5.332335902,51.57918718,7,10,15,NL.NB.BT,boxtel,gadm,shape,3,nl,,,,10440,,
151,Breda,BREDA,municipality,4.764832194,51.58555718,7,10,15,NL.NB.BR,breda,gadm,shape,3,nl,,,,20780,,
152,Cranendonck,CRANENDONCK,municipality,5.600729441,51.28639974,7,10,15,NL.NB.CR,cranendonck,gadm,shape,3,nl,,,,13247,,
153,Cuijk,CUIJK,municipality,5.859048868,51.71935683,7,10,15,NL.NB.CU,cuijk,gadm,shape,3,nl,,,,9184,,
154,Deurne,DEURNE,municipality,5.834962225,51.4377329,7,10,15,NL.NB.DE,deurne,gadm,shape,3,nl,,,,19107,,
155,Dongen,DONGEN,municipality,4.959497581,51.63658825,7,10,15,NL.NB.DO,dongen,gadm,shape,3,nl,,,,4772,,
